headEntity	tailEntity	relation
0	0	11
0	3101	16
0	427	16
0	4	16
0	1397	16
0	1398	16
0	877	16
0	2263	16
0	2671	16
0	875	16
0	2524	16
0	432	16
0	2227	16
0	428	16
0	1814	16
0	2230	16
0	3112	16
0	892	16
0	2684	16
0	2670	16
0	2254	16
0	426	16
0	1389	16
0	436	16
0	2229	16
0	2	16
0	3105	16
0	9	16
0	2701	16
0	2666	16
0	4	40
0	3101	40
0	2671	40
0	1814	40
0	2701	40
1	2667	40
1	1	11
1	427	16
1	3	16
1	4	16
1	1398	16
1	1412	16
1	877	16
1	899	16
1	875	16
1	2667	16
1	16	16
1	1820	16
1	3104	16
1	2227	16
1	881	16
1	432	16
1	2263	16
1	3120	16
1	5	16
1	1833	16
1	2230	16
1	2684	16
1	426	16
1	1819	16
1	1389	16
1	2235	16
1	2	16
1	436	16
1	2223	16
1	2248	16
1	2524	16
1	2666	16
1	34	58
1	3178	61
2	426	16
2	1389	16
2	9	16
2	3	16
2	427	16
2	4	16
2	1412	16
2	1434	16
2	3107	16
2	1398	16
2	891	16
2	1819	16
2	1396	16
2	877	16
2	2247	16
2	2683	16
2	3114	16
2	895	16
2	2672	16
2	2223	16
2	428	16
2	892	16
2	2248	16
2	3106	16
2	2676	16
2	436	16
2	2229	16
2	884	16
2	13	16
2	3102	16
2	2255	16
2	894	16
2	2675	16
2	1821	16
2	2960	16
2	2250	16
2	1409	16
2	1406	16
2	441	16
2	8	16
2	2230	16
2	875	16
2	447	16
2	443	16
2	2237	16
2	2236	16
2	1408	16
2	12	16
2	2249	16
2	11	16
2	2669	16
2	2226	16
2	3108	16
2	18	16
2	1405	16
2	2667	16
2	3115	16
2	433	16
2	1834	16
2	17	16
2	2686	16
2	1413	16
2	899	16
2	1823	16
2	898	16
2	1816	16
2	3117	16
2	1	16
2	2668	16
2	882	16
2	2240	16
2	1483	16
2	2224	16
2	897	16
2	435	16
2	1814	16
2	2245	16
2	3121	16
2	2244	16
2	1833	16
2	3120	16
2	2670	16
2	446	16
2	1832	16
2	15	16
2	1827	16
2	3112	16
2	2685	16
2	3119	16
2	3101	16
2	2228	16
2	2259	16
2	1831	16
2	10	16
2	1403	16
2	440	16
2	1388	16
2	2679	16
2	2257	16
2	873	16
2	1402	16
2	432	16
2	876	16
2	445	16
2	444	16
2	1399	16
2	3103	16
2	2256	16
2	1813	16
2	439	16
2	3118	16
2	886	16
2	881	16
2	1829	16
2	2227	16
2	2254	16
2	429	16
2	880	16
2	1394	16
2	1392	16
2	2253	16
2	1828	16
2	879	16
2	434	16
2	16	16
2	889	16
2	1820	16
2	2680	16
2	0	16
2	2524	16
2	442	16
2	2251	16
2	1822	16
2	2677	16
2	1818	16
2	888	16
2	1410	16
2	3104	16
2	2252	16
2	6	16
2	1407	16
2	2235	16
2	2263	16
2	2233	16
2	2666	16
2	3107	40
2	2676	40
2	1403	40
2	11	40
2	892	40
2	436	40
2	2245	40
2	1828	40
2	2244	40
2	10	40
2	1406	40
2	1389	40
2	3106	40
2	894	40
2	3114	40
2	2223	40
2	2268	40
2	1430	60
2	1430	38
2	363	61
2	1688	61
2	2684	61
2	2684	62
2	1430	65
2	2	11
3	3	11
3	3178	11
3	1820	16
3	433	16
3	4	16
3	16	16
3	2235	16
3	1398	16
3	1818	16
3	2251	16
3	888	16
3	1412	16
3	2524	16
3	6	16
3	2682	16
3	887	16
3	3106	16
3	1394	16
3	2227	16
3	2960	16
3	426	16
3	886	16
3	2667	16
3	2671	16
3	2255	16
3	885	16
3	2229	16
3	3110	16
3	890	16
3	9	16
3	436	16
3	432	16
3	3111	16
3	1402	16
3	2223	16
3	2679	16
3	2670	16
3	1404	16
3	1833	16
3	897	16
3	1483	16
3	3109	16
3	892	16
3	1821	16
3	2668	16
3	1	16
3	875	16
3	429	16
3	1389	16
3	18	16
3	2259	16
3	1819	16
3	3115	16
3	881	16
3	428	16
3	877	16
3	2230	16
3	441	16
3	1828	16
3	2	16
3	427	16
3	2672	16
3	3108	16
3	431	16
3	3112	16
3	2684	16
3	895	16
3	2254	16
3	2226	16
3	3114	16
3	2248	16
3	3105	16
3	2701	16
3	1409	16
3	2666	16
3	511	58
3	511	61
3	1820	40
3	888	40
3	885	40
3	3109	40
3	1821	40
3	3108	40
3	2230	40
3	441	40
3	887	40
3	2671	40
3	67	40
4	426	16
4	3	16
4	9	16
4	2671	16
4	875	16
4	427	16
4	2669	16
4	3102	16
4	3101	16
4	1397	16
4	0	16
4	1814	16
4	2668	16
4	429	16
4	2227	16
4	2224	16
4	2226	16
4	1813	16
4	1389	16
4	1391	16
4	2232	16
4	2666	16
4	1392	16
4	1819	16
4	2229	16
4	1816	16
4	3104	16
4	1	16
4	2667	16
4	873	16
4	879	16
4	876	16
4	877	16
4	428	16
4	3105	16
4	2675	16
4	2241	16
4	2247	16
4	13	16
4	1402	16
4	3111	16
4	892	16
4	436	16
4	2676	16
4	1395	16
4	894	16
4	2	16
4	3107	16
4	3114	16
4	3106	16
4	2223	16
4	1406	16
4	432	16
4	12	16
4	2248	16
4	1398	16
4	435	16
4	1396	16
4	3112	16
4	2960	16
4	2259	16
4	434	16
4	443	16
4	3120	16
4	15	16
4	2677	16
4	18	16
4	3115	16
4	874	16
4	3118	16
4	1834	16
4	1388	16
4	2254	16
4	3117	16
4	442	16
4	1830	16
4	896	16
4	897	16
4	2257	16
4	444	16
4	445	16
4	1413	16
4	1411	16
4	3116	16
4	2251	16
4	1408	16
4	3103	16
4	2256	16
4	2255	16
4	447	16
4	2249	16
4	898	16
4	2252	16
4	1409	16
4	16	16
4	3121	16
4	1410	16
4	2250	16
4	1833	16
4	3119	16
4	433	16
4	2524	16
4	2670	16
4	431	16
4	1400	16
4	890	16
4	1394	16
4	2242	16
4	2682	16
4	2240	16
4	1401	16
4	887	16
4	441	16
4	885	16
4	3108	16
4	886	16
4	1821	16
4	888	16
4	3109	16
4	2230	16
4	1820	16
4	6	16
4	1843	16
4	1817	16
4	1815	16
4	2674	16
4	430	16
4	880	16
4	5	16
4	2672	16
4	2234	16
4	1828	16
4	1412	16
4	2258	16
4	2245	16
4	2684	16
4	895	16
4	1393	16
4	2263	16
4	2235	16
4	1818	16
4	2231	16
4	1407	16
4	1822	16
4	7	16
4	2680	16
4	1829	16
4	2239	16
4	884	16
4	3110	16
4	1435	16
4	2679	16
4	3113	16
4	1403	16
4	2243	16
4	1390	16
4	2228	16
4	1831	16
4	10	16
4	2244	16
4	439	16
4	878	16
4	1832	16
4	446	16
4	2678	16
4	2685	16
4	1827	16
4	883	16
4	881	16
4	2246	16
4	438	16
4	882	16
4	3122	16
4	2683	16
4	1405	16
4	17	16
4	1823	16
4	1824	16
4	2268	16
4	1433	16
4	11	16
4	2236	16
4	2237	16
4	893	16
4	8	16
4	899	16
4	1404	16
4	891	16
4	2701	16
4	2227	40
4	2668	40
4	2669	40
4	2671	40
4	3101	40
4	0	40
4	1814	40
4	3102	40
4	429	40
4	1433	40
4	1843	40
4	3204	40
4	2701	40
4	1542	40
4	2278	47
4	117	61
4	1843	61
4	174	61
4	4	11
5	5	11
5	427	16
5	1398	16
5	4	16
5	2672	16
5	877	16
5	2229	16
5	9	16
5	875	16
5	1391	16
5	880	16
5	2259	16
5	2667	16
5	428	16
5	1	16
5	892	16
5	2684	16
5	426	16
5	1819	16
5	1389	16
5	436	16
5	2223	16
5	427	40
5	779	61
6	6	11
6	427	16
6	3	16
6	4	16
6	1398	16
6	2672	16
6	9	16
6	1819	16
6	2237	16
6	2679	16
6	2239	16
6	2682	16
6	2671	16
6	875	16
6	2231	16
6	1816	16
6	1392	16
6	1394	16
6	432	16
6	2667	16
6	3102	16
6	1820	16
6	888	16
6	1813	16
6	2227	16
6	1821	16
6	428	16
6	2230	16
6	3110	16
6	3112	16
6	892	16
6	2684	16
6	895	16
6	426	16
6	1389	16
6	436	16
6	2229	16
6	2	16
6	2248	16
6	2670	16
6	2666	16
6	1820	40
6	888	40
6	1821	40
7	2247	40
7	891	16
7	2247	16
7	1819	16
7	875	16
7	3112	16
7	892	16
7	2684	16
7	13	16
7	426	16
7	1389	16
7	3105	16
7	4	16
7	7	11
8	8	11
8	1398	16
8	1362	16
8	2268	16
8	1394	16
8	2671	16
8	2259	16
8	3105	16
8	2684	16
8	2	16
8	426	16
8	1389	16
8	4	16
8	574	58
