entityID	wikidataID	label
0	Q31	Belgium
1	Q45	Portugal
2	Q148	People's Republic of China
3	Q155	Brazil
4	Q183	Germany
5	Q233	Malta
6	Q298	Chile
7	Q398	Bahrain
8	Q686	Vanuatu
9	Q801	Israel
10	Q819	Laos
11	Q863	Tajikistan
12	Q869	Thailand
13	Q878	United Arab Emirates
14	Q891	Nizhny Novgorod
15	Q912	Mali
16	Q916	Angola
17	Q1044	Sierra Leone
18	Q1049	Sudan
19	Q1363	Tripura
20	Q1499	Uttarakhand
21	Q5257	Satavahana dynasty
22	Q7183	Qin dynasty
23	Q7318	Nazi Germany
24	Q12544	Byzantine Empire
25	Q12560	Ottoman Empire
26	Q18097	Korea
27	Q22424	Punjab
28	Q25227	Netherlands Antilles
29	Q28025	Ryukyu Kingdom
30	Q28428	Baekje
31	Q28511	Buyeo
32	Q28573	Inca Empire
33	Q38610	Dominion of Newfoundland
34	Q45670	Kingdom of Portugal
35	Q49322	Demak
36	Q55502	Kingdom of Jerusalem
37	Q83891	Sasanian Empire
38	Q83958	Macedonia
39	Q105092	Kingdom of Mercia
40	Q107380	Lippe
41	Q123559	Al-Andalus
42	Q124298	Marquisate of Bodonitsa
43	Q127861	Khedivate of Egypt
44	Q146713	Arab Federation
45	Q149805	Kingdom of Iraq
46	Q150069	United Suvadive Republic
47	Q153963	German East Africa
48	Q154741	Confederation of the Rhine
49	Q154849	Grand Duchy of Tuscany
50	Q156038	Duchy of Courland and Semigallia
51	Q157109	Burgundian Netherlands
52	Q157367	Brandenburg-Prussia
53	Q157904	Sultanate of Zanzibar
54	Q159856	Duchy of Brabant
55	Q170588	Republic of Texas
56	Q170895	Moldavian Soviet Socialist Republic
57	Q171393	Wallachia
58	Q172107	Polish–Lithuanian Commonwealth
59	Q173082	Dacia
60	Q175276	Kingdom of León
61	Q175881	Roman Republic
62	Q176495	Federal State of Austria
63	Q178469	Biafra
64	Q178913	Empire of Trebizond
65	Q185488	Volga Bulgaria
66	Q192180	Latvian Soviet Socialist Republic
67	Q199821	Gran Colombia
68	Q203817	First Bulgarian Empire
69	Q206789	Ghana Empire
70	Q210542	Fourth Brazilian Republic
71	Q215443	Swedish Empire
72	Q217169	Rhodesia
73	Q221457	Congress Poland
74	Q227007	Zou
75	Q274488	Eastern Wu
76	Q287996	Kingdom of Blambangan
77	Q289577	Himyarite Kingdom
78	Q306696	Austrian Littoral
79	Q325461	Kingdom of Thessalonica
80	Q330362	Commonwealth of England
81	Q370173	Sultanate of Egypt
82	Q370736	Cape Colony
83	Q422065	Sultanate of Sulu
84	Q424856	Kingdom of al-Abwab
85	Q449639	Alodia
86	Q454548	Amanuban
87	Q457167	West Ukrainian People's Republic
88	Q476757	Democratic Republic of Afghanistan
89	Q498735	division of Korea
90	Q501303	Free City of Kraków
91	Q501684	Kingdom of Gomma
92	Q505503	Cochinchina
93	Q538636	Ankole
94	Q542165	Despotate of Dobruja
95	Q548114	Free State of Fiume
96	Q550369	Northern Epirus
