id_from,id_to,route_type,delay
0,1,drive,120
1,0,drive,120
1,2,drive,240
2,1,drive,240
2,3,drive,180
3,2,drive,180
3,4,drive,120
4,3,drive,120
4,5,drive,120
5,4,drive,120
5,6,drive,120
5,81,change,300
6,5,drive,120
6,7,drive,90
7,6,drive,90
7,8,drive,110
7,96,change,180
7,166,change,150
8,7,drive,110
8,9,drive,100
8,121,change,180
9,8,drive,100
9,10,drive,100
9,28,change,240
10,9,drive,100
10,11,drive,90
10,149,change,300
10,72,change,120
10,49,change,240
11,10,drive,90
11,12,drive,130
12,11,drive,130
12,13,drive,130
12,75,change,240
13,12,drive,130
13,14,drive,100
14,13,drive,100
14,15,drive,160
15,14,drive,160
15,16,drive,200
16,15,drive,200
16,17,drive,170
17,16,drive,170
17,18,drive,150
18,17,drive,150
19,20,drive,140
20,19,drive,140
20,21,drive,200
21,20,drive,200
21,22,drive,160
22,21,drive,160
22,23,drive,120
23,22,drive,120
23,24,drive,180
24,23,drive,180
24,25,drive,180
25,24,drive,180
25,26,drive,110
25,84,change,120
26,25,drive,110
26,27,drive,110
27,26,drive,110
27,28,drive,120
27,148,change,180
27,120,change,120
28,27,drive,120
28,29,drive,180
28,9,change,240
28,48,change,180
29,28,drive,180
29,30,drive,120
29,98,change,120
29,137,change,120
30,29,drive,120
30,31,drive,180
30,78,change,180
31,30,drive,180
31,32,drive,300
32,31,drive,300
32,33,drive,240
33,32,drive,240
33,34,drive,180
33,180,change,60
34,33,drive,180
34,35,drive,120
35,34,drive,120
35,36,drive,180
36,35,drive,180
36,37,drive,120
37,36,drive,120
37,38,drive,180
38,37,drive,180
38,39,drive,240
38,179,change,210
39,38,drive,240
40,41,drive,120
41,40,drive,120
41,42,drive,180
42,41,drive,180
42,43,drive,180
43,42,drive,180
43,44,drive,180
44,43,drive,180
44,45,drive,120
45,44,drive,120
45,46,drive,180
46,45,drive,180
46,47,drive,180
47,46,drive,180
47,48,drive,180
47,80,change,180
47,167,change,120
48,47,drive,180
48,49,drive,120
48,28,change,180
49,48,drive,120
49,50,drive,150
49,149,change,120
49,72,change,180
49,10,change,240
50,49,drive,150
50,51,drive,110
51,50,drive,110
51,52,drive,255
51,86,change,120
51,69,change,180
52,51,drive,255
52,53,drive,230
53,52,drive,230
53,54,drive,140
54,53,drive,140
54,55,drive,170
54,62,change,120
55,54,drive,170
55,56,drive,170
56,55,drive,170
56,57,drive,450
57,56,drive,450
57,58,drive,210
58,57,drive,210
58,59,drive,100
59,58,drive,100
59,60,drive,120
60,59,drive,120
